共扫描卡牌数量: 3000
发现的稀有度种类数: 16

Rare Holo            : 906
Rare                 : 762
Common               : 526
Uncommon             : 376
Promo                : 180
Unknown              : 92
Rare Holo EX         : 55
Rare Holo GX         : 34
Rare Shiny           : 22
Rare Holo V          : 20
Rare BREAK           : 8
Rare Ultra           : 7
Rare Holo VMAX       : 7
Rare Prism Star      : 3
Amazing Rare         : 1
Rare Shining         : 1
